test_setting,same_accuracy,same_f1,cross_accuracy,cross_f1
N09_M07_F10,0.9111111111111111,0.8941798941798943,0.45555555555555555,0.3179228179228179
N15_M01_F10,0.9555555555555556,0.9537037037037037,0.5666666666666667,0.46625514403292173
N15_M07_F04,0.9222222222222222,0.9196031069432604,1.0,1.0
N15_M07_F10,0.9333333333333335,0.9296017822333612,0.8666666666666667,0.840507553709776
