test_setting,Baseline_acc,Baseline_f1,Domain z-score_acc,Domain z-score_f1,CORAL_acc,CORAL_f1
N09_M07_F10,0.45555555555555555,0.3179228179228179,0.7555555555555555,0.7171717171717171,0.3333333333333333,0.3038540498602418
N15_M01_F10,0.5666666666666667,0.46625514403292173,0.888888888888889,0.8835300501967168,0.5777777777777778,0.5486095894105047
N15_M07_F04,1.0,1.0,0.9666666666666667,0.9664143523792647,0.41111111111111115,0.41533858499443815
N15_M07_F10,0.8666666666666667,0.840507553709776,0.8777777777777778,0.860079297419451,0.4444444444444444,0.40497788340925595
