config,accuracy,f1_macro
Raw features,0.73,0.7374184966208716
Per-condition norm,0.7266666666666667,0.7296288918705492
Norm + shaft-order,0.7366666666666667,0.7394662981129146
Norm + shaft-order + top40,0.7233333333333334,0.7297383223281976
